Release.date,Release.time,Release.site,Serial.nr,Signal,Group,Total.Length.cm,Latitude,Longitude
11/03/22,18:55,Mutiaur,1364446,51643,Lutjanus bohar,50,7.27607,134.18607
11/03/22,18:59,Mutiaur,1364449,51646,Lutjanus bohar,48,7.27607,134.18607
11/03/22,19:05,Mutiaur,1312395,14010,Lutjanus bohar,50,7.27607,134.18607
11/03/22,19:06,Mutiaur,1312396,14011,Lutjanus bohar,51,7.27607,134.18607
11/03/22,19:15,Mutiaur,1312432,14047,Lutjanus bohar,48,7.27607,134.18607
11/03/22,19:16,Mutiaur,1312411,14026,Lutjanus bohar,47.5,7.27607,134.18607
11/03/22,19:28,Mutiaur,1312405,14020,Lutjanus bohar,50,7.27607,134.18607
11/03/22,19:32,Mutiaur,1312436,5958,Lutjanus bohar,51,7.27607,134.18607
11/03/22,19:40,Mutiaur,1312406,14021,Lutjanus bohar,45,7.27607,134.18607
11/03/22,19:45,Mutiaur,1312442,5970,Lutjanus bohar,55,7.27607,134.18607
11/03/22,19:50,Mutiaur,1312437,5960,Lutjanus bohar,49,7.27607,134.18607
4/17/23,17:40,Mutiaur,1379017,46648,Lutjanus bohar,64,7.275824,134.186017
9/4/22,10:52,Mutiaur,1379011,49996, Carcharhinus amblyrhynchos,114,7.27574,134.18658
9/10/22,14:15,Mutiaur,1379006,49991, Carcharhinus amblyrhynchos,130,7.72546,134.18657
9/10/22,17:25,Ulong channel,1388935,63786, Carcharhinus amblyrhynchos,120,7.28293,134.24559
9/10/22,17:30,Ulong channel,1379008,49993, Carcharhinus amblyrhynchos,121,7.28293,134.24559
9/10/22,17:50,Ulong channel,1388931,63782, Carcharhinus amblyrhynchos,118,7.28293,134.24559
9/10/22,19:15,Ulong channel,1388937,63788, Carcharhinus amblyrhynchos,119,7.28293,134.24559
9/14/22,14:15,Mutiaur,1379009,49994, Carcharhinus amblyrhynchos,111,7.26922,134.1819
9/14/22,15:22,Mutiaur,1388933,63784, Carcharhinus amblyrhynchos,124,7.26857,134.18138
9/16/22,13:14,Mutiaur,1379013,49998, Carcharhinus amblyrhynchos,125,7.27484,134.18462
11/03/22,18:06,Mutiaur,1379014,49999, Carcharhinus amblyrhynchos,122,7.27607,134.18607
12/3/22,07:04,Mutiaur,1379007,49992, Carcharhinus amblyrhynchos,128,7.2753,134.18643
12/3/22,07:58,Mutiaur,1388930,63781, Carcharhinus amblyrhynchos,122,7.2753,134.18643
12/3/22,08:11,Mutiaur,1388938,63789, Carcharhinus amblyrhynchos,124,7.2753,134.18643
12/3/22,11:17,Mutiaur,1379010,49995, Carcharhinus amblyrhynchos,115,7.27639,134.19208
12/3/22,11:31,Mutiaur,1379012,49997, Carcharhinus amblyrhynchos,112,7.27693,134.19325
4/20/23,16:30,Mutiaur,1388929,63780,Negaprion acutidens,216,7.27632,134.186287
